label,county_name,town_name,counts,town_percentage_in_label,label_percentage_in_town
asparagus,彰化縣,二林鎮,898.0,0.43998040176384123,0.2228287841191067
asparagus,新竹市,東區,5.0,0.002449779519843214,0.02577319587628866
asparagus,屏東縣,枋寮鄉,0.0,0.0,0.0
asparagus,南投縣,魚池鄉,0.0,0.0,0.0
asparagus,嘉義縣,鹿草鄉,7.0,0.0034296913277804997,0.013972055888223553
asparagus,桃園市,楊梅區,1.0,0.0004899559039686428,0.005376344086021506
asparagus,新竹縣,關西鎮,0.0,0.0,0.0
asparagus,南投縣,草屯鎮,0.0,0.0,0.0
asparagus,臺南市,後壁區,0.0,0.0,0.0
asparagus,雲林縣,土庫鎮,100.0,0.04899559039686428,0.0683526999316473
asparagus,臺中市,后里區,0.0,0.0,0.0
asparagus,臺中市,梧棲區,0.0,0.0,0.0
asparagus,南投縣,竹山鎮,1.0,0.0004899559039686428,0.0033783783783783786
asparagus,屏東縣,南州鄉,0.0,0.0,0.0
asparagus,高雄市,內門區,0.0,0.0,0.0
asparagus,臺南市,南化區,2.0,0.0009799118079372856,0.005263157894736842
asparagus,花蓮縣,玉里鎮,0.0,0.0,0.0
asparagus,彰化縣,和美鎮,17.0,0.008329250367466928,0.04582210242587601
asparagus,屏東縣,高樹鄉,0.0,0.0,0.0
asparagus,嘉義縣,大林鎮,1.0,0.0004899559039686428,0.005649717514124294
asparagus,新竹市,香山區,0.0,0.0,0.0
asparagus,臺南市,白河區,0.0,0.0,0.0
asparagus,臺中市,清水區,5.0,0.002449779519843214,0.018726591760299626
asparagus,苗栗縣,通霄鎮,0.0,0.0,0.0
asparagus,嘉義縣,民雄鄉,1.0,0.0004899559039686428,0.010526315789473684
asparagus,嘉義市,東區,0.0,0.0,0.0
asparagus,新竹市,北區,0.0,0.0,0.0
asparagus,桃園市,大溪區,0.0,0.0,0.0
asparagus,臺南市,龍崎區,0.0,0.0,0.0
asparagus,苗栗縣,南庄鄉,0.0,0.0,0.0
asparagus,南投縣,鹿谷鄉,0.0,0.0,0.0
asparagus,彰化縣,伸港鄉,22.0,0.010779029887310143,0.019981834695731154
asparagus,苗栗縣,造橋鄉,0.0,0.0,0.0
asparagus,苗栗縣,後龍鎮,1.0,0.0004899559039686428,0.017543859649122806
asparagus,臺南市,善化區,30.0,0.014698677119059285,0.05813953488372093
asparagus,南投縣,南投市,0.0,0.0,0.0
asparagus,宜蘭縣,冬山鄉,0.0,0.0,0.0
asparagus,桃園市,大園區,3.0,0.0014698677119059284,0.02727272727272727
asparagus,苗栗縣,公館鄉,0.0,0.0,0.0
asparagus,苗栗縣,竹南鎮,0.0,0.0,0.0
asparagus,臺南市,六甲區,0.0,0.0,0.0
asparagus,臺東縣,太麻里鄉,0.0,0.0,0.0
asparagus,桃園市,桃園區,1.0,0.0004899559039686428,0.0051813471502590676
asparagus,雲林縣,臺西鄉,3.0,0.0014698677119059284,0.004341534008683068
asparagus,高雄市,鳥松區,1.0,0.0004899559039686428,0.015384615384615385
asparagus,雲林縣,崙背鄉,0.0,0.0,0.0
asparagus,彰化縣,大村鄉,0.0,0.0,0.0
asparagus,嘉義縣,太保市,0.0,0.0,0.0
asparagus,彰化縣,彰化市,3.0,0.0014698677119059284,0.006741573033707865
asparagus,臺南市,左鎮區,0.0,0.0,0.0
asparagus,臺中市,龍井區,11.0,0.005389514943655071,0.035483870967741936
asparagus,新竹縣,新豐鄉,0.0,0.0,0.0
asparagus,臺南市,關廟區,0.0,0.0,0.0
asparagus,桃園市,蘆竹區,1.0,0.0004899559039686428,0.0049504950495049506
asparagus,新竹縣,竹北市,1.0,0.0004899559039686428,0.0125
asparagus,屏東縣,萬巒鄉,0.0,0.0,0.0
asparagus,屏東縣,枋山鄉,0.0,0.0,0.0
asparagus,苗栗縣,三義鄉,1.0,0.0004899559039686428,0.005747126436781609
asparagus,新竹縣,新埔鎮,0.0,0.0,0.0
asparagus,宜蘭縣,三星鄉,0.0,0.0,0.0
asparagus,雲林縣,麥寮鄉,81.0,0.03968642822146007,0.034571062740076826
asparagus,桃園市,新屋區,0.0,0.0,0.0
asparagus,桃園市,平鎮區,0.0,0.0,0.0
asparagus,臺東縣,鹿野鄉,2.0,0.0009799118079372856,0.002197802197802198
asparagus,南投縣,中寮鄉,0.0,0.0,0.0
asparagus,雲林縣,古坑鄉,0.0,0.0,0.0
asparagus,臺南市,新市區,0.0,0.0,0.0
asparagus,雲林縣,水林鄉,10.0,0.004899559039686428,0.014367816091954023
asparagus,苗栗縣,銅鑼鄉,0.0,0.0,0.0
asparagus,嘉義縣,六腳鄉,78.0,0.03821656050955414,0.04609929078014184
asparagus,新竹縣,湖口鄉,0.0,0.0,0.0
asparagus,花蓮縣,光復鄉,0.0,0.0,0.0
asparagus,屏東縣,里港鄉,4.0,0.0019598236158745713,0.0038684719535783366
asparagus,南投縣,名間鄉,0.0,0.0,0.0
asparagus,苗栗縣,卓蘭鎮,0.0,0.0,0.0
asparagus,高雄市,岡山區,1.0,0.0004899559039686428,0.03125
asparagus,臺東縣,東河鄉,0.0,0.0,0.0
asparagus,花蓮縣,花蓮市,0.0,0.0,0.0
asparagus,屏東縣,林邊鄉,0.0,0.0,0.0
asparagus,彰化縣,芬園鄉,1.0,0.0004899559039686428,0.015151515151515152
asparagus,臺南市,玉井區,0.0,0.0,0.0
asparagus,高雄市,美濃區,0.0,0.0,0.0
asparagus,臺東縣,關山鎮,0.0,0.0,0.0
asparagus,臺中市,潭子區,0.0,0.0,0.0
asparagus,彰化縣,二水鄉,0.0,0.0,0.0
asparagus,彰化縣,大城鄉,17.0,0.008329250367466928,0.008542713567839196
asparagus,屏東縣,春日鄉,0.0,0.0,0.0
asparagus,雲林縣,北港鎮,1.0,0.0004899559039686428,0.0009823182711198428
asparagus,臺南市,安定區,0.0,0.0,0.0
asparagus,雲林縣,莿桐鄉,12.0,0.005879470847623714,0.013318534961154272
asparagus,雲林縣,大埤鄉,2.0,0.0009799118079372856,0.03076923076923077
asparagus,臺東縣,延平鄉,0.0,0.0,0.0
asparagus,花蓮縣,吉安鄉,3.0,0.0014698677119059284,0.0016844469399213925
asparagus,南投縣,國姓鄉,2.0,0.0009799118079372856,0.0028328611898017
asparagus,花蓮縣,瑞穗鄉,0.0,0.0,0.0
asparagus,彰化縣,員林市,2.0,0.0009799118079372856,0.009009009009009009
asparagus,高雄市,大樹區,0.0,0.0,0.0
asparagus,嘉義縣,梅山鄉,0.0,0.0,0.0
asparagus,苗栗縣,大湖鄉,0.0,0.0,0.0
asparagus,嘉義縣,水上鄉,0.0,0.0,0.0
asparagus,嘉義縣,朴子市,0.0,0.0,0.0
asparagus,苗栗縣,頭份市,0.0,0.0,0.0
asparagus,臺南市,歸仁區,3.0,0.0014698677119059284,0.011764705882352941
asparagus,臺中市,新社區,0.0,0.0,0.0
asparagus,屏東縣,東港鎮,0.0,0.0,0.0
asparagus,彰化縣,田尾鄉,8.0,0.0039196472317491425,0.01809954751131222
asparagus,新竹縣,橫山鄉,0.0,0.0,0.0
asparagus,雲林縣,林內鄉,0.0,0.0,0.0
asparagus,嘉義縣,新港鄉,18.0,0.008819206271435572,0.061855670103092786
asparagus,高雄市,田寮區,0.0,0.0,0.0
asparagus,新北市,三峽區,0.0,0.0,0.0
asparagus,屏東縣,長治鄉,0.0,0.0,0.0
asparagus,屏東縣,萬丹鄉,24.0,0.011758941695247428,0.009486166007905139
asparagus,嘉義縣,義竹鄉,0.0,0.0,0.0
asparagus,雲林縣,二崙鄉,3.0,0.0014698677119059284,0.0025795356835769563
asparagus,臺中市,烏日區,0.0,0.0,0.0
asparagus,彰化縣,社頭鄉,1.0,0.0004899559039686428,0.0013477088948787063
asparagus,花蓮縣,秀林鄉,0.0,0.0,0.0
asparagus,彰化縣,溪州鄉,6.0,0.002939735423811857,0.009917355371900827
asparagus,雲林縣,虎尾鎮,58.0,0.028417442430181284,0.05714285714285714
asparagus,臺中市,大肚區,9.0,0.004409603135717786,0.047872340425531915
asparagus,臺中市,大雅區,0.0,0.0,0.0
asparagus,雲林縣,斗南鎮,9.0,0.004409603135717786,0.021739130434782608
asparagus,臺北市,內湖區,0.0,0.0,0.0
asparagus,臺南市,官田區,2.0,0.0009799118079372856,0.0625
asparagus,屏東縣,滿州鄉,0.0,0.0,0.0
asparagus,高雄市,旗山區,0.0,0.0,0.0
asparagus,屏東縣,鹽埔鄉,0.0,0.0,0.0
asparagus,臺東縣,達仁鄉,0.0,0.0,0.0
asparagus,高雄市,林園區,0.0,0.0,0.0
asparagus,臺東縣,池上鄉,0.0,0.0,0.0
asparagus,雲林縣,四湖鄉,7.0,0.0034296913277804997,0.004847645429362881
asparagus,彰化縣,溪湖鎮,34.0,0.016658500734933857,0.021210230817217717
asparagus,臺南市,柳營區,0.0,0.0,0.0
asparagus,彰化縣,福興鄉,8.0,0.0039196472317491425,0.01927710843373494
asparagus,臺中市,西屯區,0.0,0.0,0.0
asparagus,嘉義縣,溪口鄉,16.0,0.007839294463498285,0.052980132450331126
asparagus,花蓮縣,鳳林鎮,0.0,0.0,0.0
asparagus,彰化縣,北斗鎮,3.0,0.0014698677119059284,0.03225806451612903
asparagus,臺南市,永康區,0.0,0.0,0.0
asparagus,臺南市,山上區,0.0,0.0,0.0
asparagus,苗栗縣,苑裡鎮,3.0,0.0014698677119059284,0.04225352112676056
asparagus,臺中市,沙鹿區,3.0,0.0014698677119059284,0.024390243902439025
asparagus,花蓮縣,壽豐鄉,0.0,0.0,0.0
asparagus,桃園市,觀音區,1.0,0.0004899559039686428,0.0021645021645021645
asparagus,屏東縣,崁頂鄉,1.0,0.0004899559039686428,0.0007057163020465773
asparagus,臺東縣,臺東市,0.0,0.0,0.0
asparagus,彰化縣,鹿港鎮,3.0,0.0014698677119059284,0.028846153846153848
asparagus,桃園市,中壢區,2.0,0.0009799118079372856,0.008771929824561403
asparagus,彰化縣,永靖鄉,0.0,0.0,0.0
asparagus,屏東縣,三地門鄉,0.0,0.0,0.0
asparagus,屏東縣,新園鄉,32.0,0.01567858892699657,0.021843003412969283
asparagus,雲林縣,口湖鄉,5.0,0.002449779519843214,0.020161290322580645
asparagus,南投縣,水里鄉,0.0,0.0,0.0
asparagus,南投縣,埔里鎮,2.0,0.0009799118079372856,0.00035925992455541585
asparagus,高雄市,大寮區,12.0,0.005879470847623714,0.01279317697228145
asparagus,苗栗縣,頭屋鄉,0.0,0.0,0.0
asparagus,臺中市,大里區,0.0,0.0,0.0
asparagus,屏東縣,屏東市,0.0,0.0,0.0
asparagus,臺中市,大甲區,0.0,0.0,0.0
asparagus,雲林縣,斗六市,0.0,0.0,0.0
asparagus,臺南市,下營區,2.0,0.0009799118079372856,0.015503875968992248
asparagus,彰化縣,埔鹽鄉,32.0,0.01567858892699657,0.025579536370903277
asparagus,臺東縣,大武鄉,0.0,0.0,0.0
asparagus,花蓮縣,新城鄉,0.0,0.0,0.0
asparagus,臺南市,七股區,0.0,0.0,0.0
asparagus,屏東縣,潮州鎮,0.0,0.0,0.0
asparagus,臺東縣,金峰鄉,0.0,0.0,0.0
asparagus,雲林縣,元長鄉,19.0,0.009309162175404213,0.007086907870197687
asparagus,臺南市,麻豆區,0.0,0.0,0.0
asparagus,臺中市,太平區,0.0,0.0,0.0
asparagus,嘉義縣,東石鄉,25.0,0.01224889759921607,0.0748502994011976
asparagus,屏東縣,內埔鄉,0.0,0.0,0.0
asparagus,南投縣,集集鎮,0.0,0.0,0.0
asparagus,彰化縣,埤頭鄉,20.0,0.009799118079372856,0.0322061191626409
asparagus,嘉義縣,中埔鄉,1.0,0.0004899559039686428,0.0007530120481927711
asparagus,臺中市,大安區,4.0,0.0019598236158745713,0.011764705882352941
asparagus,屏東縣,九如鄉,0.0,0.0,0.0
asparagus,臺南市,楠西區,0.0,0.0,0.0
asparagus,屏東縣,麟洛鄉,0.0,0.0,0.0
asparagus,臺中市,霧峰區,1.0,0.0004899559039686428,0.02702702702702703
asparagus,屏東縣,佳冬鄉,0.0,0.0,0.0
asparagus,臺東縣,卑南鄉,0.0,0.0,0.0
asparagus,雲林縣,褒忠鄉,29.0,0.014208721215090642,0.03265765765765766
asparagus,彰化縣,田中鎮,5.0,0.002449779519843214,0.010548523206751054
