file,height,width,taken_datetime,make,model,target_fid,target_x,target_y,county_name,town_name,town_x,town_y,angle
0005055c-aaaa-4e19-9a9b-23f8fbbe0976.jpg,3000,4000,,,,5000,0,0,屏東縣,竹田鄉,120.5278702,22.5896854,0.0
0006061f-abda-4e2b-a07f-506ce19a0efc.jpg,1225,1633,2019-09-28 10:21:54,Apple,iPhone 7 Plus,5001,0,-128,雲林縣,西螺鎮,120.4580765,23.77952,270.0
00069669-5fc6-46fb-91c1-d9d7abba85ea.jpg,5664,4248,2019-09-16 10:40:45,samsung,SM-A750GN,5002,0,0,南投縣,埔里鎮,120.9625702,23.9790077,0.0
000bbbfa-15f7-43ba-b99e-0aacada1c782.jpg,1225,1633,2020-01-12 13:20:56,Apple,iPhone 7 Plus,0,0,-128,雲林縣,西螺鎮,120.4580765,23.77952,270.0
001787cb-d749-4e9b-be38-eca87ba0efa8.jpg,1225,1633,2020-10-27 10:00:38,Apple,iPhone X,5003,0,-116,苗栗縣,三灣鄉,120.9525681,24.6360931,270.0
00214d57-3d24-455d-9ec2-2574daab696e.jpg,4032,3024,,,,2500,0,0,雲林縣,元長鄉,120.3279495,23.6425228,0.0
00228020-7802-400d-b61d-0da6680967d8.jpg,4000,3000,,,,5004,0,0,屏東縣,新園鄉,120.449707,22.5161438,0.0
0029bfea-41fe-41fe-9371-7cf0c7ff25f2.jpg,4160,3120,2019-09-01 08:52:51,OPPO,CPH1715,2501,0,0,南投縣,埔里鎮,120.9625702,23.9790077,0.0
002b60b8-552b-4858-9a6a-e8c1eae8158e.jpg,4160,3120,,,,1,0,0,彰化縣,溪湖鎮,120.4831848,23.9518013,0.0
00345f20-7bc6-4b6d-9741-1465e6e7c885.jpg,1225,1633,2019-11-30 16:11:12,Apple,iPhone 7 Plus,2502,0,-144,南投縣,名間鄉,120.6774521,23.8511734,270.0
00359512-080e-4c0c-a7cb-c707b9499605.jpg,4000,1840,2020-04-18 15:25:56,OPPO,CPH1919,5005,0,0,雲林縣,元長鄉,120.3279495,23.6425228,0.0
0037438c-52d7-4df9-a684-2ec7b029e438.jpg,4000,3000,2020-04-07 07:09:38,Xiaomi,Redmi Note 8T,5006,0,0,雲林縣,虎尾鎮,120.429306,23.7167091,0.0
